     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
   497.5,   497.5,  959.11,   17.92,   93.29,      34,      61,      70,    2.44,  279.15,  294.56,   16.82,   12.41,   12.57,  293.27,  296.79,   29.10,     NaN,     NaN,  278.00,     NaN,     NaN,   0.107
   502.5,   502.5,  958.61,   17.89,   93.38,      34,      61,      70,    2.44,  277.78,  294.58,   16.80,   12.41,   12.57,  293.24,  296.81,   28.93,     NaN,     NaN,  273.67,     NaN,     NaN,   0.107
   507.5,   507.5,  958.05,   17.86,   93.45,      34,      61,      70,    2.44,  276.41,  294.60,   16.79,   12.41,   12.56,  293.21,  296.83,   28.77,     NaN,     NaN,  269.33,     NaN,     NaN,   0.106
   512.5,   512.5,  957.34,   17.82,   93.56,      34,      61,      70,    2.44,  273.13,  294.62,   16.77,   12.40,   12.55,  293.17,  296.85,   28.55,     NaN,     NaN,  248.50,     NaN,     NaN,   0.106
   517.5,   517.5,  956.88,   17.78,   93.67,      34,      61,      70,    2.44,  269.16,  294.62,   16.74,   12.38,   12.54,  293.13,  296.85,   28.40,     NaN,     NaN,  232.00,     NaN,     NaN,   0.106
   522.5,   522.5,  956.29,   17.74,   93.75,      20,      34,      39,    2.45,  265.33,  294.63,   16.72,   12.37,   12.53,  293.08,  296.85,   28.25,     NaN,     NaN,  232.00,     NaN,     NaN,   0.105
   527.5,   527.5,  955.49,   17.70,   93.82,       5,       8,       8,    2.47,  261.10,  294.66,   16.69,   12.36,   12.51,  293.04,  296.88,   28.10,     NaN,     NaN,  223.00,     NaN,     NaN,   0.104
   532.5,   532.5,  955.01,   17.67,   93.86,       5,       8,       8,    2.47,  258.65,  294.68,   16.67,   12.35,   12.50,  293.01,  296.90,   28.00,     NaN,     NaN,  214.00,     NaN,     NaN,   0.104
   537.5,   537.5,  954.60,   17.64,   93.89,       5,       7,       7,    2.49,  255.07,  294.68,   16.65,   12.34,   12.49,  292.98,  296.90,   27.90,     NaN,     NaN,  214.00,     NaN,     NaN,   0.100
   542.5,   542.5,  954.16,   17.62,   93.91,       5,       7,       8,    2.48,  252.01,  294.70,   16.62,   12.33,   12.48,  292.96,  296.91,   27.80,     NaN,     NaN,  214.00,     NaN,     NaN,   0.100
   547.5,   547.5,  953.52,   17.58,   93.91,       5,       7,       8,    2.49,  247.06,  294.72,   16.59,   12.31,   12.46,  292.91,  296.93,   27.65,     NaN,     NaN,  209.50,     NaN,     NaN,   0.100
   552.5,   552.5,  952.91,   17.55,   93.89,       5,       7,       8,    2.51,  243.93,  294.73,   16.55,   12.28,   12.44,  292.87,  296.94,   27.40,     NaN,     NaN,  203.67,     NaN,     NaN,   0.099
   557.5,   557.5,  952.49,   17.52,   93.85,       5,       7,       8,    2.51,  242.63,  294.75,   16.52,   12.27,   12.42,  292.85,  296.95,   27.20,     NaN,     NaN,  202.33,     NaN,     NaN,   0.099
   562.5,   562.5,  951.87,   17.49,   93.77,       5,       7,       8,    2.52,  240.54,  294.77,   16.47,   12.24,   12.39,  292.81,  296.97,   29.00,     NaN,     NaN,  201.00,     NaN,     NaN,   0.098
